rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,session,subject,sex,handedness,age,responses,test_part,condition,correct_response,angle,correct
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,194,343594,0.0-6.0-0.94,2,MASC,f,rechts,23,,fixation,,,,
953,img/90_330.png,70,image-keyboard-response,195,344548,0.0-6.0-1.94,2,MASC,f,rechts,23,,,self,f,90,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,196,344850,0.0-6.0-0.95,2,MASC,f,rechts,23,,fixation,,,,
1305,img/120_30.png,74,image-keyboard-response,197,346156,0.0-6.0-1.95,2,MASC,f,rechts,23,,,self,j,120,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,198,346657,0.0-6.0-0.96,2,MASC,f,rechts,23,,fixation,,,,
928,img/0_90.png,74,image-keyboard-response,199,347588,0.0-6.0-1.96,2,MASC,f,rechts,23,,,self,j,0,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,200,348090,0.0-6.0-0.97,2,MASC,f,rechts,23,,fixation,,,,
1069,img/L30_180.png,70,image-keyboard-response,201,349161,0.0-6.0-1.97,2,MASC,f,rechts,23,,,self,f,30,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,202,349612,0.0-6.0-0.98,2,MASC,f,rechts,23,,fixation,,,,
1065,img/90_120.png,70,image-keyboard-response,203,350678,0.0-6.0-1.98,2,MASC,f,rechts,23,,,self,f,90,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,204,351030,0.0-6.0-0.99,2,MASC,f,rechts,23,,fixation,,,,
1118,img/L60_180.png,70,image-keyboard-response,205,352149,0.0-6.0-1.99,2,MASC,f,rechts,23,,,self,f,60,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,206,352501,0.0-6.0-0.100,2,MASC,f,rechts,23,,fixation,,,,
949,img/90_180.png,74,image-keyboard-response,207,353450,0.0-6.0-1.100,2,MASC,f,rechts,23,,,self,j,90,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,208,353852,0.0-6.0-0.101,2,MASC,f,rechts,23,,fixation,,,,
942,img/60_270.png,70,image-keyboard-response,209,354795,0.0-6.0-1.101,2,MASC,f,rechts,23,,,self,f,60,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,210,355097,0.0-6.0-0.102,2,MASC,f,rechts,23,,fixation,,,,
931,img/150_180.png,74,image-keyboard-response,211,356029,0.0-6.0-1.102,2,MASC,f,rechts,23,,,self,j,150,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,212,356480,0.0-6.0-0.103,2,MASC,f,rechts,23,,fixation,,,,
586,img/0_120.png,74,image-keyboard-response,213,357067,0.0-6.0-1.103,2,MASC,f,rechts,23,,,self,j,0,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,214,357569,0.0-6.0-0.104,2,MASC,f,rechts,23,,fixation,,,,
794,img/30_270.png,70,image-keyboard-response,215,358363,0.0-6.0-1.104,2,MASC,f,rechts,23,,,self,f,30,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,216,358715,0.0-6.0-0.105,2,MASC,f,rechts,23,,fixation,,,,
932,img/L120_180.png,70,image-keyboard-response,217,359647,0.0-6.0-1.105,2,MASC,f,rechts,23,,,self,f,120,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,218,359998,0.0-6.0-0.106,2,MASC,f,rechts,23,,fixation,,,,
1076,img/150_60.png,70,image-keyboard-response,219,361075,0.0-6.0-1.106,2,MASC,f,rechts,23,,,self,f,150,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,220,361427,0.0-6.0-0.107,2,MASC,f,rechts,23,,fixation,,,,
1189,img/150_270.png,74,image-keyboard-response,221,362617,0.0-6.0-1.107,2,MASC,f,rechts,23,,,self,j,150,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,222,363118,0.0-6.0-0.108,2,MASC,f,rechts,23,,fixation,,,,
939,img/90_330.png,70,image-keyboard-response,223,364059,0.0-6.0-1.108,2,MASC,f,rechts,23,,,self,f,90,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,224,364411,0.0-6.0-0.109,2,MASC,f,rechts,23,,fixation,,,,
692,img/0_330.png,70,image-keyboard-response,225,365104,0.0-6.0-1.109,2,MASC,f,rechts,23,,,self,f,0,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,226,365606,0.0-6.0-0.110,2,MASC,f,rechts,23,,fixation,,,,
879,img/150_90.png,70,image-keyboard-response,227,366485,0.0-6.0-1.110,2,MASC,f,rechts,23,,,self,f,150,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,228,366937,0.0-6.0-0.111,2,MASC,f,rechts,23,,fixation,,,,
970,img/120_180.png,74,image-keyboard-response,229,367909,0.0-6.0-1.111,2,MASC,f,rechts,23,,,self,j,120,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,230,368410,0.0-6.0-0.112,2,MASC,f,rechts,23,,fixation,,,,
853,img/L150_180.png,70,image-keyboard-response,231,369266,0.0-6.0-1.112,2,MASC,f,rechts,23,,,self,f,150,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,232,369717,0.0-6.0-0.113,2,MASC,f,rechts,23,,fixation,,,,
987,img/90_210.png,74,image-keyboard-response,233,370706,0.0-6.0-1.113,2,MASC,f,rechts,23,,,self,j,90,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,234,371157,0.0-6.0-0.114,2,MASC,f,rechts,23,,fixation,,,,
644,img/0_120.png,74,image-keyboard-response,235,371803,0.0-6.0-1.114,2,MASC,f,rechts,23,,,self,j,0,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,236,372254,0.0-6.0-0.115,2,MASC,f,rechts,23,,fixation,,,,
1068,img/30_120.png,74,image-keyboard-response,237,373323,0.0-6.0-1.115,2,MASC,f,rechts,23,,,self,j,30,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,238,373625,0.0-6.0-0.116,2,MASC,f,rechts,23,,fixation,,,,
938,img/60_150.png,70,image-keyboard-response,239,374565,0.0-6.0-1.116,2,MASC,f,rechts,23,,,self,f,60,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,240,375016,0.0-6.0-0.117,2,MASC,f,rechts,23,,fixation,,,,
661,img/0_30.png,74,image-keyboard-response,241,375679,0.0-6.0-1.117,2,MASC,f,rechts,23,,,self,j,0,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,242,376130,0.0-6.0-0.118,2,MASC,f,rechts,23,,fixation,,,,
776,img/150_120.png,70,image-keyboard-response,243,376907,0.0-6.0-1.118,2,MASC,f,rechts,23,,,self,f,150,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,244,377208,0.0-6.0-0.119,2,MASC,f,rechts,23,,fixation,,,,
1069,img/30_300.png,70,image-keyboard-response,245,378278,0.0-6.0-1.119,2,MASC,f,rechts,23,,,self,f,30,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,246,378680,0.0-6.0-0.120,2,MASC,f,rechts,23,,fixation,,,,
971,img/90_240.png,74,image-keyboard-response,247,379652,0.0-6.0-1.120,2,MASC,f,rechts,23,,,self,j,90,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,248,380153,0.0-6.0-0.121,2,MASC,f,rechts,23,,fixation,,,,
1008,img/90_60.png,74,image-keyboard-response,249,381163,0.0-6.0-1.121,2,MASC,f,rechts,23,,,self,j,90,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,250,381616,0.0-6.0-0.122,2,MASC,f,rechts,23,,fixation,,,,
674,img/0_150.png,74,image-keyboard-response,251,382290,0.0-6.0-1.122,2,MASC,f,rechts,23,,,self,j,0,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,252,382642,0.0-6.0-0.123,2,MASC,f,rechts,23,,fixation,,,,
938,img/90_30.png,74,image-keyboard-response,253,383581,0.0-6.0-1.123,2,MASC,f,rechts,23,,,self,j,90,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,254,384033,0.0-6.0-0.124,2,MASC,f,rechts,23,,fixation,,,,
924,img/60_30.png,74,image-keyboard-response,255,384958,0.0-6.0-1.124,2,MASC,f,rechts,23,,,self,j,60,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,256,385360,0.0-6.0-0.125,2,MASC,f,rechts,23,,fixation,,,,
990,img/60_270.png,70,image-keyboard-response,257,386350,0.0-6.0-1.125,2,MASC,f,rechts,23,,,self,f,60,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,258,386852,0.0-6.0-0.126,2,MASC,f,rechts,23,,fixation,,,,
926,img/L60_180.png,70,image-keyboard-response,259,387779,0.0-6.0-1.126,2,MASC,f,rechts,23,,,self,f,60,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,260,388181,0.0-6.0-0.127,2,MASC,f,rechts,23,,fixation,,,,
1183,img/150_300.png,74,image-keyboard-response,261,389365,0.0-6.0-1.127,2,MASC,f,rechts,23,,,self,j,150,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,262,389718,0.0-6.0-0.128,2,MASC,f,rechts,23,,fixation,,,,
971,img/30_60.png,74,image-keyboard-response,263,390690,0.0-6.0-1.128,2,MASC,f,rechts,23,,,self,j,30,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,264,391042,0.0-6.0-0.129,2,MASC,f,rechts,23,,fixation,,,,
1030,img/60_90.png,74,image-keyboard-response,265,392073,0.0-6.0-1.129,2,MASC,f,rechts,23,,,self,j,60,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,266,392475,0.0-6.0-0.130,2,MASC,f,rechts,23,,fixation,,,,
1058,img/120_210.png,74,image-keyboard-response,267,393534,0.0-6.0-1.130,2,MASC,f,rechts,23,,,self,j,120,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,268,393936,0.0-6.0-0.131,2,MASC,f,rechts,23,,fixation,,,,
950,img/90_180.png,74,image-keyboard-response,269,394887,0.0-6.0-1.131,2,MASC,f,rechts,23,,,self,j,90,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,270,395339,0.0-6.0-0.132,2,MASC,f,rechts,23,,fixation,,,,
835,img/60_330.png,70,image-keyboard-response,271,396175,0.0-6.0-1.132,2,MASC,f,rechts,23,,,self,f,60,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,272,396677,0.0-6.0-0.133,2,MASC,f,rechts,23,,fixation,,,,
891,img/90_120.png,70,image-keyboard-response,273,397568,0.0-6.0-1.133,2,MASC,f,rechts,23,,,self,f,90,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,274,397869,0.0-6.0-0.134,2,MASC,f,rechts,23,,fixation,,,,
